"","site","plot_mean","mean.height_mean","mode.el_mean","height.2_mean","max.el_mean","mode.2_mean","max.can.ht_mean","mean.max.ht_mean","mean.vai_mean","max.vai_mean","deep.gaps_mean","porosity_mean","std.std_mean","mean.std_mean","rugosity_mean","top.rugosity_mean","mean.return.ht_mean","sd.return.ht_mean","sky.fraction_mean","cover.fraction_mean","max.ht_mean","rumple_mean","clumping.index_mean","plot_sd","mean.height_sd","mode.el_sd","height.2_sd","max.el_sd","mode.2_sd","max.can.ht_sd","mean.max.ht_sd","mean.vai_sd","max.vai_sd","deep.gaps_sd","porosity_sd","std.std_sd","mean.std_sd","rugosity_sd","top.rugosity_sd","mean.return.ht_sd","sd.return.ht_sd","sky.fraction_sd","cover.fraction_sd","max.ht_sd","rumple_sd","clumping.index_sd","Date.and.Time_mean","transect.1_mean","notes_mean","aPAR_mean","bPAR_mean","tau_mean","LAI_mean","Leaf.Distribuition...._mean","Beam.Fraction..Fb._mean","Zenith.Angle_mean","Latitude_mean","Longitude_mean","fPAR_mean","regime_mean","Date.and.Time_sd","transect.1_sd","notes_sd","aPAR_sd","bPAR_sd","tau_sd","LAI_sd","Leaf.Distribuition...._sd","Beam.Fraction..Fb._sd","Zenith.Angle_sd","Latitude_sd","Longitude_sd","fPAR_sd","regime_sd"
"1","ARNO",NA,7.42116975346429,6.42041666666071,3.92301943930357,18.3035714285714,4.44152896194643,25.9804642857143,13.7659284821429,7.59317715667857,8.45202300767857,0,0.765421336089286,357.743340806589,9.38897846844643,13.4644614817857,6.68530372067857,6.77571723333929,4.80994970476786,1.29849179378571,98.7015082060714,25.9804642857143,5.75916666666071,0.827188001321429,2.8519758473322,3.6780207251657,3.57235356946483,2.04670537047914,6.58902570493239,2.19543280361421,4.74457299530655,4.77945195609087,0.29829609957806,1.14764656454348,0,0.0414972632193444,374.902271851094,5.56588234845792,7.6762676977097,1.80599431547133,3.59404394745017,2.05682241489259,1.68352487689935,1.68352487687769,4.74457299530655,1.53330454518124,0.0973690175331148,NA,NA,NA,844.246666666667,30.1666666666667,0.0543777777777778,4.95511111111111,1,0.428888888888889,NA,NA,NA,0.944230598545465,NA,13.1339255365637,13.1339255365637,12.7304216883667,445.771031013579,22.7854618721516,0.054794363051524,1.36815838766474,0,0.335208362760607,9.82009895237026,0,0,0.0901380985439365,0.4903101471559
"2","GRSM",NA,10.1249153131034,8.44298850575862,5.72538274841379,26.9655172413793,6.70886847637931,33.6520689655172,20.4228162644828,7.02239654665517,8.56227414675862,0,0.739123707103448,1764.73210283586,23.9265434581379,29.6931877571379,8.9218706227931,8.94573204075862,6.912162194,5.12629343341379,94.8737065672414,33.6520689655172,7.44344827586207,0.91411627137931,3.00778955872193,2.83828713350358,2.84384581223646,1.8027752118723,6.77960575455477,2.29706063294855,4.53342966930143,3.4281270349061,0.780177613360332,1.459405626574,0,0.0587320054351682,1664.4041091075,10.1994957777405,14.7522606449627,2.48747350805287,2.55431589466181,1.93700397628869,6.37406198335216,6.37406198357678,4.53342966930143,2.52412470806653,0.0375960838552452,NA,NA,NA,1729.10909090909,51.1727272727273,0.0274545454545455,7.61272727272727,1,0.855454545454545,NA,NA,NA,0.970761410728314,NA,6.909589296219,6.76395463106327,6.76395463106327,178.540842090465,39.9516872737224,0.0221224455565518,1.29496895281107,0,0.0572153220177347,13.509736748471,0,0,0.0218307266476462,0
"3","HARV",NA,7.60387442158824,6.47450980392157,3.40036092594118,17.843137254902,4.06518920758824,22.8458039215686,13.7435553921569,7.52392184415686,8.63004410733333,0,0.690507812176471,291.338859274314,9.61274501,11.5379213356667,5.30271670129412,6.96868471688235,4.40648294678431,1.60838448335294,98.3916155168627,22.8458039215686,4.68235294117647,0.854740920882353,5.58148198747166,2.01246804955867,1.9216951513968,1.01934986852734,4.51828528988424,1.28730200026343,2.92916431781905,2.93754078296504,0.39906044046441,1.50752759288623,0,0.0549516018769925,323.96812321141,5.30614395993854,6.24270834233794,1.4882251436257,2.00607297806052,1.16456893351063,2.0138163808616,2.01381638101499,2.92916431781905,1.07407278754337,0.0800206631741751,NA,NA,NA,378.675,30.9,0.2299,2.638,1,0.157,NA,NA,NA,0.798738292454273,NA,15.7837144242298,14.5807873235419,14.5807873235419,392.911281008308,18.7008295441947,0.22598738335557,1.51234102788207,0,0.26500314463543,8.92989074501747,0.496138938356834,2.976833630141,0.191257827461351,0.334932063528542
"4","MLBS",NA,9.44032913553571,8.37053571428571,3.69734691860714,17.3928571428571,4.60259151714286,19.6949285714286,14.9565732142857,6.81865826767857,8.46459531964286,0.214285714285714,0.660330004928571,190.049428669286,9.08157788771429,9.08620350675,3.72633986464286,8.71344526025,4.61143151889286,4.96189152089286,95.0381084789286,19.6949285714286,3.1275,0.891494737571429,2.94818570341133,2.25943895778155,2.41347503393302,0.752900230124936,2.58685116344156,0.903730173456995,1.89110986281271,2.34084348152431,0.852141062469327,0.465624801203464,1.13389341902768,0.0309749017783706,150.66148630879,3.79374416433794,3.39842236607763,1.16778753858824,2.17286892889308,0.73073374183272,5.81893809366885,5.81893809312298,1.89110986281271,0.614109563152664,0.0431566470305464,NA,NA,NA,1491.95,176.45,0.12,4.015,1,0.845,NA,NA,NA,0.881772718573348,NA,0.707106781186548,0.707106781186548,0.707106781186548,30.6177236253775,9.54594154601839,0.00282842712474619,0.00707106781186532,0,0.00707106781186548,2.12132034355964,0,0,0.00397204418265852,0
"5","OSBS",NA,6.1459102038,5.79355555556,5.05976991537333,14.36,4.86936750812,15.8116666666667,7.01776653332,2.60918704304,8.72456760142667,15.6,0.860748030093333,9.41093016252,1.10313777594667,2.05489827321333,5.65789664032,9.39682589806667,2.76152288134667,57.1354170486667,42.8645829513867,15.8116666666667,3.12315555554667,0.935327112426667,7.11559637076976,2.3442305442435,2.25375253199797,1.072355788542,2.93920378996063,1.07587648324783,3.07856427722551,2.865293984319,1.25913262073729,1.90096510068109,7.30605080589907,0.0536087376832217,20.8682578377592,0.930103163382994,1.77763497618973,1.1614260363491,2.13206972585225,0.845889994619453,18.0261176972749,18.0261176971652,3.07856427722551,0.658783776399863,0.0368014852769714,NA,NA,NA,1970.61153846154,1296.4641025641,0.651653846153846,1.11294871794872,1,0.882307692307692,NA,NA,NA,0.34808680589584,NA,22.7046104128508,21.7731661126893,21.7731661126893,263.534074280146,365.513712846802,0.147263508579149,0.500880028081378,0,0.130751306287563,9.67539250434938,1.72564639421159,0.739562740376398,0.142767120218494,0.11322770341446
"6","RICE",NA,10.6328145618571,8.90129251728571,5.764859457,23.8571428571429,6.33354850442857,29.3523571428571,18.8894059185714,7.04308224535714,8.15203793121429,0,0.759175623928571,892.980507321429,17.6366190760714,22.5637374871429,7.56501540735714,9.37560113807143,6.75125245692857,4.42896325821429,95.5710367414286,29.3523571428571,5.99224489792857,0.905487614214286,2.97332462752713,3.41425961930782,3.38413867520291,1.46037036127372,4.40029969009355,1.82138679733382,2.10625228991952,3.90670278213107,0.602965148745181,0.178396618010533,0,0.0359982393996775,524.685402953765,7.36313560553774,4.9186145664575,1.43069988119816,3.21637334274905,1.42231608528632,4.21536181534141,4.21536181525207,2.10625228991952,1.16664133073504,0.0733710426378189,NA,NA,NA,1908.9,166.8,0.0745,6.285,1,0.8975,NA,NA,NA,0.913241393965465,NA,1.29099444873581,1.29099444873581,1.29099444873581,42.7346073653037,109.517821989543,0.0392640632979658,1.61663230204026,0,0.00957427107756339,1.25830573921179,0,0,0.0554847170045944,0
"7","SCBI",NA,10.91476347,9.22884615384615,5.48604647784615,24.9230769230769,6.37518624223077,29.5830769230769,19.5702173076923,6.85103472592308,8.32426632523077,0.230769230769231,0.746515210153846,905.7507089,19.0358647613846,19.3738812047692,6.69778566807692,10.0569798041538,6.64675978107692,5.16009620184615,94.8399037969231,29.5830769230769,5.12692307692308,0.930501936769231,1.80810142669895,1.27121848818571,1.3673973968915,0.84512771727316,3.96781926800979,1.3212330063999,2.47045796906628,2.39859656553717,0.525465040523777,0.498175796349253,0.832050294337844,0.0362302487705736,858.211323808934,9.79010427531105,9.28420277658182,1.17611879733724,1.23116865285425,0.972327596180476,3.88976479439526,3.88976479424378,2.47045796906628,0.909925680256219,0.0374079579530048,NA,NA,NA,1303.2,94.3333333333333,0.0741666666666667,4.96222222222222,1,0.698333333333333,NA,NA,NA,0.925322866428042,NA,5.33853912601566,5.33853912601566,5.33853912601566,120.777393677498,59.8984827461775,0.0533933791885892,0.891486237929841,0,0.082622458134791,1.47417862363388,0,0,0.0536090745598281,0
"8","TALL",NA,12.9168555034211,12.2641228070263,5.59217333821053,23.1315789473684,6.1657628716579,26.1196578947368,17.7177646052632,4.91922364373684,8.29891126760526,2.44736842105263,0.743320476789474,287.695695464211,9.12547645355263,11.2967678780263,6.24353012618421,12.7875889078158,5.13055139921053,28.0604139806842,71.9395860192105,26.1196578947368,4.46403508773684,0.894648323473684,3.53442730678016,4.06215497031458,4.21381229701764,2.39192432504489,5.68150652190629,2.29951322007718,5.67619478208114,4.72206912662731,1.72774214749876,0.609303000430851,4.39715736443722,0.0783865741288887,308.931029548525,5.55741088197879,6.92787049771631,2.45652264754445,4.23913745947508,1.71024853487154,22.4147856321475,22.4147856320605,5.67619478208114,0.988441354386085,0.0502136371049626,NA,NA,NA,1116.88461538462,321.607692307692,0.296307692307692,2.25846153846154,1,0.48,NA,NA,NA,0.70076696042989,NA,3.89444048184931,3.89444048184931,3.89444048184931,344.83724867961,147.010535118737,0.100099437740166,0.851536318992973,0,0.200748598998847,5.36010906892474,0,0,0.101597560921543,0.375533808099405
"9","TREE",NA,9.57460266889286,8.73273809525,4.84645495307143,18.6428571428571,5.06470673132143,22.6613571428571,13.2388880953571,5.1335158605,8.48808098117857,4.5,0.773980198142857,96.5916448367857,5.26586250467857,7.49831715010714,6.03352177882143,9.70434888225,4.24935892907143,30.1371083073929,69.8628916925,22.6613571428571,4.31696428571429,0.912259115714286,3.02437190120947,2.88166975305289,2.90235547925545,1.18231159375768,2.99647058701333,1.1365290326322,6.42535926774346,3.40800399050757,1.70950747394106,1.4162330543319,4.32477787911746,0.0534241907114378,69.5039132782086,2.27353185928208,2.81721283013055,1.60055907420481,2.87112491103237,0.665554323863168,18.8638212030258,18.8638212028448,6.42535926774346,1.05871720010037,0.0442963430471871,NA,NA,NA,1640.175,265.545,0.15875,4.255,1,0.8695,NA,NA,NA,0.840210568396415,NA,9.3774645883236,8.53645433605657,9.03953305733968,156.156385429883,196.850251594027,0.109422346894956,1.13450429703902,0,0.0468452098320685,11.8954878663696,0,0,0.11059558275692,0
"10","UNDE",NA,10.925230340913,9.99239130434783,4.37535042373913,20.0869565217391,5.07805994630435,22.984347826087,16.3133737678261,6.22994409017391,8.23190140591304,0.478260869565217,0.715012234565217,213.209481683043,8.59255155782609,9.93714657043478,4.54674851891304,10.0264821002609,4.91672411330435,12.1006441702609,87.8993558291304,22.984347826087,4.150942029,0.877921251,2.40963153006262,3.89267248592386,3.93364764493039,1.22414066888025,3.23212628407455,1.51623872008306,2.68710708939585,4.14831470485092,0.744389861725005,0.498944160411292,1.03877398090211,0.0280251521538685,204.699046243807,4.18231074799801,4.99857803133718,1.40636524270949,3.79965763801702,1.17249444607721,7.08237063450592,7.08237063407315,2.68710708939585,1.32415752002685,0.0883227119761243,NA,NA,NA,536.94,74.55,0.2786,2.524,1,0.241,NA,NA,NA,0.708273985727204,NA,3.94405318873308,4.71404520791032,4.71404520791032,699.870669322395,90.0507048525687,0.177511940130485,1.90063264321237,0,0.362842175669318,3.37474278855276,0,0,0.203817681396254,0.483045891539648
