"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"20",1,3,0
"21",1,4,1.15767902221932
"22",1,5,0.848109964505976
"23",1,6,5.9942110132747
"24",1,7,0.538720538720539
"25",1,8,0
"26",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"287",2,0,0
"288",2,1,0
"299",2,2,0
"306",2,3,0.378378378378378
"307",2,4,1.54054054054054
"308",2,5,3.35135135135135
"309",2,6,1.89189189189189
"310",2,7,0.837837837837838
"311",2,8,0
"312",2,9,0
"289",2,10,0
"290",2,11,0
"291",2,12,0
"292",2,13,0
"293",2,14,0
"294",2,15,0
"295",2,16,0
"296",2,17,0
"297",2,18,0
"298",2,19,0
"300",2,20,0
"301",2,21,0
"302",2,22,0
"303",2,23,0
"304",2,24,0
"305",2,25,0
"573",3,0,0
"574",3,1,0
"585",3,2,3.75675675675676
"592",3,3,3.27027027027027
"593",3,4,0.243243243243243
"594",3,5,0
"595",3,6,0
"596",3,7,0
"597",3,8,0
"598",3,9,0
"575",3,10,0
"576",3,11,0
"577",3,12,0
"578",3,13,0
"579",3,14,0
"580",3,15,0.0810810810810811
"581",3,16,0.351351351351351
"582",3,17,0.297297297297297
"583",3,18,0
"584",3,19,0
"586",3,20,0
"587",3,21,0
"588",3,22,0
"589",3,23,0
"590",3,24,0
"591",3,25,0
"859",4,0,0
"860",4,1,0
"871",4,2,2.45117845117845
"878",4,3,4.04040404040404
"879",4,4,1.50841750841751
"880",4,5,0
"881",4,6,0
"882",4,7,0
"883",4,8,0
"884",4,9,0
"861",4,10,0
"862",4,11,0
"863",4,12,0
"864",4,13,0
"865",4,14,0
"866",4,15,0
"867",4,16,0
"868",4,17,0
"869",4,18,0
"870",4,19,0
"872",4,20,0
"873",4,21,0
"874",4,22,0
"875",4,23,0
"876",4,24,0
"877",4,25,0
"911",5,0,0
"912",5,1,0
"923",5,2,1.32432432432432
"930",5,3,2.27027027027027
"931",5,4,0.216216216216216
"932",5,5,3.37837837837838
"933",5,6,0.432432432432432
"934",5,7,0.0810810810810811
"935",5,8,0.297297297297297
"936",5,9,0
"913",5,10,0
"914",5,11,0
"915",5,12,0
"916",5,13,0
"917",5,14,0
"918",5,15,0
"919",5,16,0
"920",5,17,0
"921",5,18,0
"922",5,19,0
"924",5,20,0
"925",5,21,0
"926",5,22,0
"927",5,23,0
"928",5,24,0
"929",5,25,0
"937",6,0,0
"938",6,1,0
"949",6,2,1.21621621621622
"956",6,3,2.10810810810811
"957",6,4,1.59459459459459
"958",6,5,0.837837837837838
"959",6,6,1.62162162162162
"960",6,7,0.297297297297297
"961",6,8,0.324324324324324
"962",6,9,0
"939",6,10,0
"940",6,11,0
"941",6,12,0
"942",6,13,0
"943",6,14,0
"944",6,15,0
"945",6,16,0
"946",6,17,0
"947",6,18,0
"948",6,19,0
"950",6,20,0
"951",6,21,0
"952",6,22,0
"953",6,23,0
"954",6,24,0
"955",6,25,0
"963",7,0,0
"964",7,1,0
"975",7,2,0.888888888888889
"982",7,3,5.49494949494949
"983",7,4,1.4006734006734
"984",7,5,0.215488215488215
"985",7,6,0
"986",7,7,0
"987",7,8,0
"988",7,9,0
"965",7,10,0
"966",7,11,0
"967",7,12,0
"968",7,13,0
"969",7,14,0
"970",7,15,0
"971",7,16,0
"972",7,17,0
"973",7,18,0
"974",7,19,0
"976",7,20,0
"977",7,21,0
"978",7,22,0
"979",7,23,0
"980",7,24,0
"981",7,25,0
"989",8,0,0
"990",8,1,0
"1001",8,2,0
"1008",8,3,7.48648648648649
"1009",8,4,0.324324324324324
"1010",8,5,0.189189189189189
"1011",8,6,0
"1012",8,7,0
"1013",8,8,0
"1014",8,9,0
"991",8,10,0
"992",8,11,0
"993",8,12,0
"994",8,13,0
"995",8,14,0
"996",8,15,0
"997",8,16,0
"998",8,17,0
"999",8,18,0
"1000",8,19,0
"1002",8,20,0
"1003",8,21,0
"1004",8,22,0
"1005",8,23,0
"1006",8,24,0
"1007",8,25,0
"1015",9,0,0
"1016",9,1,0
"1027",9,2,0
"1034",9,3,1.05405405405405
"1035",9,4,0.432432432432432
"1036",9,5,1.40540540540541
"1037",9,6,0
"1038",9,7,1.2972972972973
"1039",9,8,2.78378378378378
"1040",9,9,0.108108108108108
"1017",9,10,0.810810810810811
"1018",9,11,0.0810810810810811
"1019",9,12,0
"1020",9,13,0
"1021",9,14,0
"1022",9,15,0
"1023",9,16,0.027027027027027
"1024",9,17,0
"1025",9,18,0
"1026",9,19,0
"1028",9,20,0
"1029",9,21,0
"1030",9,22,0
"1031",9,23,0
"1032",9,24,0
"1033",9,25,0
"27",10,0,0
"28",10,1,0
"39",10,2,0
"46",10,3,0.567567567567568
"47",10,4,3.83783783783784
"48",10,5,1.89189189189189
"49",10,6,0
"50",10,7,1.59459459459459
"51",10,8,0.0810810810810811
"52",10,9,0
"29",10,10,0.027027027027027
"30",10,11,0
"31",10,12,0
"32",10,13,0
"33",10,14,0
"34",10,15,0
"35",10,16,0
"36",10,17,0
"37",10,18,0
"38",10,19,0
"40",10,20,0
"41",10,21,0
"42",10,22,0
"43",10,23,0
"44",10,24,0
"45",10,25,0
"53",11,0,0
"54",11,1,0
"65",11,2,0.508095582324331
"72",11,3,0
"73",11,4,0.0981548284035639
"74",11,5,0.311785925517203
"75",11,6,0.519643209195338
"76",11,7,0.456131261404797
"77",11,8,0.0288690671775188
"78",11,9,0.0519643209195338
"55",11,10,0
"56",11,11,0
"57",11,12,0
"58",11,13,0
"59",11,14,0
"60",11,15,0
"61",11,16,0
"62",11,17,0
"63",11,18,0
"64",11,19,0
"66",11,20,0
"67",11,21,0
"68",11,22,0
"69",11,23,0
"70",11,24,0.0346428806130225
"71",11,25,0
"79",12,0,0
"80",12,1,0
"91",12,2,0
"98",12,3,0
"99",12,4,0.0954836642396344
"100",12,5,0
"101",12,6,0
"102",12,7,0
"103",12,8,0.0802062779612929
"104",12,9,0
"81",12,10,0
"82",12,11,0
"83",12,12,0
"84",12,13,0
"85",12,14,0
"86",12,15,0
"87",12,16,0
"88",12,17,0
"89",12,18,0
"90",12,19,0.0152773862783415
"92",12,20,0
"93",12,21,0
"94",12,22,0
"95",12,23,0
"96",12,24,0
"97",12,25,0
"105",13,0,0
"106",13,1,0
"117",13,2,0.49430252349377
"124",13,3,0
"125",13,4,0.697838856697087
"126",13,5,0.0096922063430151
"127",13,6,0
"128",13,7,0
"129",13,8,0
"130",13,9,0
"107",13,10,0
"108",13,11,0
"109",13,12,0
"110",13,13,0
"111",13,14,0
"112",13,15,0
"113",13,16,0
"114",13,17,0
"115",13,18,0
"116",13,19,0
"118",13,20,0
"119",13,21,0
"120",13,22,0
"121",13,23,0
"122",13,24,0
"123",13,25,0
"131",14,0,0
"132",14,1,0
"143",14,2,0
"150",14,3,0.159810729609423
"151",14,4,0.728548914395899
"152",14,5,0.178611991916414
"153",14,6,0
"154",14,7,0
"155",14,8,0
"156",14,9,0
"133",14,10,0
"134",14,11,0
"135",14,12,0
"136",14,13,0
"137",14,14,0
"138",14,15,0
"139",14,16,0
"140",14,17,0
"141",14,18,0
"142",14,19,0
"144",14,20,0
"145",14,21,0
"146",14,22,0
"147",14,23,0
"148",14,24,0
"149",14,25,0
"157",15,0,0
"158",15,1,0
"169",15,2,0
"176",15,3,0
"177",15,4,0
"178",15,5,0
"179",15,6,0
"180",15,7,0
"181",15,8,0
"182",15,9,0
"159",15,10,0
"160",15,11,0
"161",15,12,0
"162",15,13,0
"163",15,14,0
"164",15,15,0
"165",15,16,0
"166",15,17,0
"167",15,18,0
"168",15,19,0
"170",15,20,0
"171",15,21,0
"172",15,22,0
"173",15,23,0
"174",15,24,0
"175",15,25,0
"183",16,0,0
"184",16,1,0
"195",16,2,0
"202",16,3,0
"203",16,4,0
"204",16,5,0.107305395474168
"205",16,6,0
"206",16,7,0
"207",16,8,0
"208",16,9,0
"185",16,10,0
"186",16,11,0
"187",16,12,0
"188",16,13,0.107305395474168
"189",16,14,0.0675626564096615
"190",16,15,0
"191",16,16,0
"192",16,17,0
"193",16,18,0
"194",16,19,0.0675626564096615
"196",16,20,0.00397427390645068
"197",16,21,0
"198",16,22,0
"199",16,23,0
"200",16,24,0
"201",16,25,0
"209",17,0,0
"210",17,1,0
"221",17,2,0.190756192884449
"228",17,3,0
"229",17,4,0
"230",17,5,0
"231",17,6,0.0090836282325928
"232",17,7,0.0363345129303712
"233",17,8,0
"234",17,9,0.0136254423488892
"211",17,10,0.168047122302967
"212",17,11,0.0136254423488892
"213",17,12,0.195298007000745
"214",17,13,0.131712609372596
"215",17,14,0
"216",17,15,0
"217",17,16,0.0090836282325928
"218",17,17,0.0590435835118532
"219",17,18,0
"220",17,19,0.0862944682096316
"222",17,20,0
"223",17,21,0
"224",17,22,0
"225",17,23,0.0045418141162964
"226",17,24,0
"227",17,25,0
"235",18,0,0
"236",18,1,0
"247",18,2,0
"254",18,3,0
"255",18,4,0
"256",18,5,0
"257",18,6,0
"258",18,7,0.0183304586840016
"259",18,8,0
"260",18,9,0
"237",18,10,0
"238",18,11,0
"239",18,12,0
"240",18,13,0
"241",18,14,0
"242",18,15,0
"243",18,16,0
"244",18,17,0.00733218347360064
"245",18,18,0
"246",18,19,0
"248",18,20,0
"249",18,21,0
"250",18,22,0
"251",18,23,0
"252",18,24,0
"253",18,25,0
"261",19,0,0
"262",19,1,0.0465813068883074
"273",19,2,0.0550506354134542
"280",19,3,0
"281",19,4,0
"282",19,5,0.0042346642625734
"283",19,6,0.105866606564335
"284",19,7,0.406527769207047
"285",19,8,0
"286",19,9,0
"263",19,10,0
"264",19,11,0
"265",19,12,0
"266",19,13,0
"267",19,14,0
"268",19,15,0
"269",19,16,0
"270",19,17,0
"271",19,18,0
"272",19,19,0
"274",19,20,0
"275",19,21,0
"276",19,22,0
"277",19,23,0
"278",19,24,0
"279",19,25,0
"313",20,0,0
"314",20,1,0.863934260805878
"325",20,2,0.945657771963191
"332",20,3,0.478666279635689
"333",20,4,0
"334",20,5,1.90299033123457
"335",20,6,0.969007346579566
"336",20,7,0.595414152717565
"337",20,8,0.315219257321064
"338",20,9,0.0116747873081875
"315",20,10,0
"316",20,11,0
"317",20,12,0
"318",20,13,0
"319",20,14,0
"320",20,15,0
"321",20,16,0
"322",20,17,0
"323",20,18,0
"324",20,19,0
"326",20,20,0.0116747873081875
"327",20,21,0
"328",20,22,0
"329",20,23,0
"330",20,24,0
"331",20,25,0
"339",21,0,0
"340",21,1,0.0740589429588504
"351",21,2,0.962766258465056
"358",21,3,2.42543038190235
"359",21,4,0.333265243314827
"360",21,5,1.11088414438276
"361",21,6,1.33306097325931
"362",21,7,0
"363",21,8,0.0185147357397126
"364",21,9,0
"341",21,10,0
"342",21,11,0
"343",21,12,0
"344",21,13,0
"345",21,14,0
"346",21,15,0
"347",21,16,0
"348",21,17,0
"349",21,18,0
"350",21,19,0
"352",21,20,0
"353",21,21,0
"354",21,22,0
"355",21,23,0
"356",21,24,0
"357",21,25,0
"365",22,0,0
"366",22,1,0
"377",22,2,0.599423631123919
"384",22,3,6.2478386167147
"385",22,4,1.15273775216138
"386",22,5,0
"387",22,6,0
"388",22,7,0
"389",22,8,0
"390",22,9,0
"367",22,10,0
"368",22,11,0
"369",22,12,0
"370",22,13,0
"371",22,14,0
"372",22,15,0
"373",22,16,0
"374",22,17,0
"375",22,18,0
"376",22,19,0
"378",22,20,0
"379",22,21,0
"380",22,22,0
"381",22,23,0
"382",22,24,0
"383",22,25,0
"391",23,0,0
"392",23,1,0
"403",23,2,0
"410",23,3,1.75502311076256
"411",23,4,0.00938515032493347
"412",23,5,0
"413",23,6,0
"414",23,7,0
"415",23,8,0.300324810397871
"416",23,9,0
"393",23,10,0.0656960522745343
"394",23,11,0
"395",23,12,0
"396",23,13,0.0750812025994678
"397",23,14,0.00938515032493347
"398",23,15,0
"399",23,16,0
"400",23,17,0
"401",23,18,0
"402",23,19,0
"404",23,20,0
"405",23,21,0
"406",23,22,0
"407",23,23,0
"408",23,24,0
"409",23,25,0
"417",24,0,0
"418",24,1,0
"429",24,2,1.69423060236656
"436",24,3,1.56163864218135
"437",24,4,0.427240760596784
"438",24,5,0.368311000514469
"439",24,6,0.0589297600823151
"440",24,7,0
"441",24,8,0.574565160802572
"442",24,9,0.0294648800411575
"419",24,10,0
"420",24,11,0
"421",24,12,0
"422",24,13,0
"423",24,14,0
"424",24,15,0
"425",24,16,0
"426",24,17,0
"427",24,18,0
"428",24,19,0
"430",24,20,0
"431",24,21,0
"432",24,22,0
"433",24,23,0
"434",24,24,0
"435",24,25,0
"443",25,0,0
"444",25,1,0.205749847770016
"455",25,2,2.75704796011821
"462",25,3,2.22209835591617
"463",25,4,0.720124467195055
"464",25,5,0.699549482418054
"465",25,6,0
"466",25,7,0
"467",25,8,0
"468",25,9,0
"445",25,10,0
"446",25,11,0
"447",25,12,0
"448",25,13,0
"449",25,14,0
"450",25,15,0
"451",25,16,0
"452",25,17,0
"453",25,18,0.144024893439011
"454",25,19,0.185174862993014
"456",25,20,0.102874923885008
"457",25,21,0
"458",25,22,0
"459",25,23,0
"460",25,24,0
"461",25,25,0
"469",26,0,0
"470",26,1,0
"481",26,2,0
"488",26,3,0
"489",26,4,0
"490",26,5,0.0964189582806132
"491",26,6,0
"492",26,7,0.421832942477683
"493",26,8,0
"494",26,9,0
"471",26,10,0
"472",26,11,0
"473",26,12,0
"474",26,13,0
"475",26,14,0.21694265613138
"476",26,15,1.06060854108674
"477",26,16,0.25309976548661
"478",26,17,0.0964189582806132
"479",26,18,0.204890286346303
"480",26,19,0.783404036029982
"482",26,20,0.397728202907529
"483",26,21,0
"484",26,22,0
"485",26,23,0
"486",26,24,0
"487",26,25,0
"495",27,0,0
"496",27,1,0
"507",27,2,0
"514",27,3,0
"515",27,4,0
"516",27,5,0
"517",27,6,0
"518",27,7,0
"519",27,8,0
"520",27,9,0.177520060604301
"497",27,10,0.955877249407777
"498",27,11,0.58718173892192
"499",27,12,0.327729342654095
"500",27,13,0
"501",27,14,0.0682769463862698
"502",27,15,0.669114074585444
"503",27,16,0.559870960367412
"504",27,17,0.013655389277254
"505",27,18,0
"506",27,19,0.45062784614938
"508",27,20,0.286763174822333
"509",27,21,0.013655389277254
"510",27,22,0.0409661678317619
"511",27,23,0
"512",27,24,0.013655389277254
"513",27,25,0.0682769463862698
"521",28,0,0
"522",28,1,0
"533",28,2,0.0189378211386305
"540",28,3,0
"541",28,4,0
"542",28,5,0
"543",28,6,0
"544",28,7,0
"545",28,8,0
"546",28,9,0.00946891056931526
"523",28,10,0.53972790245097
"524",28,11,0.255660585371512
"525",28,12,0.35981860163398
"526",28,13,0.037875642277261
"527",28,14,0.00946891056931526
"528",28,15,0.284067317079458
"529",28,16,0.151502569109044
"530",28,17,0.037875642277261
"531",28,18,0.0946891056931526
"532",28,19,0.284067317079458
"534",28,20,0.189378211386305
"535",28,21,0
"536",28,22,0
"537",28,23,0
"538",28,24,0
"539",28,25,0
"547",29,0,0
"548",29,1,0
"559",29,2,1.86724006799869
"566",29,3,0.946236520945281
"567",29,4,0
"568",29,5,0
"569",29,6,0
"570",29,7,0
"571",29,8,0
"572",29,9,0.239713251972805
"549",29,10,0.0504659477837483
"550",29,11,0
"551",29,12,0
"552",29,13,0.21448027808093
"553",29,14,0.0883154086215596
"554",29,15,0
"555",29,16,0.100931895567497
"556",29,17,0.164014330297182
"557",29,18,0
"558",29,19,0.0756989216756225
"560",29,20,0.0252329738918742
"561",29,21,0
"562",29,22,0
"563",29,23,0
"564",29,24,0
"565",29,25,0
"599",30,0,0
"600",30,1,0
"611",30,2,0.302008167798972
"618",30,3,0.850097064915625
"619",30,4,0
"620",30,5,0.19015329083639
"621",30,6,0
"622",30,7,0
"623",30,8,0
"624",30,9,0.0111854876962582
"601",30,10,0.0111854876962582
"602",30,11,0
"603",30,12,0.346750118584005
"604",30,13,0.715871212560526
"605",30,14,0.369121093976521
"606",30,15,0.12304036465884
"607",30,16,0.0894839015700657
"608",30,17,0.0223709753925164
"609",30,18,0
"610",30,19,0
"612",30,20,0.0782984138738075
"613",30,21,0
"614",30,22,0
"615",30,23,0
"616",30,24,0
"617",30,25,0
"625",31,0,0
"626",31,1,0
"637",31,2,0
"644",31,3,0
"645",31,4,0
"646",31,5,1.07175861203119
"647",31,6,0.479470958013952
"648",31,7,0.310245914009028
"649",31,8,0
"650",31,9,0
"627",31,10,0
"628",31,11,0
"629",31,12,0.0282041740008207
"630",31,13,0.0282041740008207
"631",31,14,0.169225044004924
"632",31,15,0.225633392006566
"633",31,16,0.126918783003693
"634",31,17,0.253837566007386
"635",31,18,0.479470958013952
"636",31,19,0.211531305006155
"638",31,20,0.0423062610012311
"639",31,21,0.0423062610012311
"640",31,22,0.0141020870004104
"641",31,23,0
"642",31,24,0
"643",31,25,0
"651",32,0,0
"652",32,1,0
"663",32,2,0
"670",32,3,0
"671",32,4,0
"672",32,5,7.86394557823129
"673",32,6,0.0816326530612245
"674",32,7,0.054421768707483
"675",32,8,0
"676",32,9,0
"653",32,10,0
"654",32,11,0
"655",32,12,0
"656",32,13,0
"657",32,14,0
"658",32,15,0
"659",32,16,0
"660",32,17,0
"661",32,18,0
"662",32,19,0
"664",32,20,0
"665",32,21,0
"666",32,22,0
"667",32,23,0
"668",32,24,0
"669",32,25,0
"677",33,0,0
"678",33,1,0
"689",33,2,0
"696",33,3,0
"697",33,4,0
"698",33,5,0.513865765438714
"699",33,6,0.976344954333556
"700",33,7,0.0642332206798392
"701",33,8,0
"702",33,9,0
"679",33,10,0
"680",33,11,0
"681",33,12,0.29547281512726
"682",33,13,0.346859391671132
"683",33,14,0.578098986118553
"684",33,15,0.205546306175485
"685",33,16,0
"686",33,17,0
"687",33,18,0
"688",33,19,0
"690",33,20,0
"691",33,21,0
"692",33,22,0
"693",33,23,0
"694",33,24,0
"695",33,25,0
"703",34,0,0
"704",34,1,0
"715",34,2,0.920295084581167
"722",34,3,1.77113393636376
"723",34,4,0.399373338591827
"724",34,5,0
"725",34,6,0
"726",34,7,0.0868202909982233
"727",34,8,0.0694562327985786
"728",34,9,0
"705",34,10,0
"706",34,11,0
"707",34,12,0
"708",34,13,0
"709",34,14,1.05920755017832
"710",34,15,0.173640581996447
"711",34,16,0
"712",34,17,0.0347281163992893
"713",34,18,0.121548407397513
"714",34,19,0.0694562327985786
"716",34,20,0
"717",34,21,0
"718",34,22,0
"719",34,23,0
"720",34,24,0
"721",34,25,0
"729",35,0,0
"730",35,1,0
"741",35,2,1.46938775510204
"748",35,3,0.136054421768707
"749",35,4,3.97278911564626
"750",35,5,1.36054421768707
"751",35,6,1.06122448979592
"752",35,7,0
"753",35,8,0
"754",35,9,0
"731",35,10,0
"732",35,11,0
"733",35,12,0
"734",35,13,0
"735",35,14,0
"736",35,15,0
"737",35,16,0
"738",35,17,0
"739",35,18,0
"740",35,19,0
"742",35,20,0
"743",35,21,0
"744",35,22,0
"745",35,23,0
"746",35,24,0
"747",35,25,0
"755",36,0,0
"756",36,1,0
"767",36,2,6.53061224489796
"774",36,3,1.46938775510204
"775",36,4,0
"776",36,5,0
"777",36,6,0
"778",36,7,0
"779",36,8,0
"780",36,9,0
"757",36,10,0
"758",36,11,0
"759",36,12,0
"760",36,13,0
"761",36,14,0
"762",36,15,0
"763",36,16,0
"764",36,17,0
"765",36,18,0
"766",36,19,0
"768",36,20,0
"769",36,21,0
"770",36,22,0
"771",36,23,0
"772",36,24,0
"773",36,25,0
"781",37,0,0
"782",37,1,0
"793",37,2,1.79591836734694
"800",37,3,5.55102040816327
"801",37,4,0
"802",37,5,0
"803",37,6,0
"804",37,7,0
"805",37,8,0.19047619047619
"806",37,9,0
"783",37,10,0
"784",37,11,0
"785",37,12,0
"786",37,13,0
"787",37,14,0.054421768707483
"788",37,15,0.217687074829932
"789",37,16,0.163265306122449
"790",37,17,0.0272108843537415
"791",37,18,0
"792",37,19,0
"794",37,20,0
"795",37,21,0
"796",37,22,0
"797",37,23,0
"798",37,24,0
"799",37,25,0
"807",38,0,0
"808",38,1,0
"819",38,2,7.15646258503401
"826",38,3,0.843537414965986
"827",38,4,0
"828",38,5,0
"829",38,6,0
"830",38,7,0
"831",38,8,0
"832",38,9,0
"809",38,10,0
"810",38,11,0
"811",38,12,0
"812",38,13,0
"813",38,14,0
"814",38,15,0
"815",38,16,0
"816",38,17,0
"817",38,18,0
"818",38,19,0
"820",38,20,0
"821",38,21,0
"822",38,22,0
"823",38,23,0
"824",38,24,0
"825",38,25,0
"833",39,0,0
"834",39,1,0.563286276820447
"845",39,2,4.3602530316842
"852",39,3,1.00139782545857
"853",39,4,0
"854",39,5,0
"855",39,6,0
"856",39,7,0
"857",39,8,0
"858",39,9,0
"835",39,10,0
"836",39,11,0
"837",39,12,0
"838",39,13,0
"839",39,14,0
"840",39,15,0
"841",39,16,0
